type,user_id,time,vote
accepted-answer,131872,20131231,4
accepted-answer,2970947,20131231,3
accepted-answer,2970947,20131231,0
answer,139985,20131231,0
answer,139985,20131231,3
answer,418556,20131231,2
answer,992484,20131231,2
answer,1831293,20131231,2
answer,2970947,20131231,2
question,256196,20131231,1
accepted-answer,22656,20140101,7
accepted-answer,22656,20140101,3
accepted-answer,22656,20140101,5
accepted-answer,57695,20140101,3
accepted-answer,57695,20140101,1
accepted-answer,57695,20140101,1
accepted-answer,131872,20140101,3
accepted-answer,139985,20140101,1
accepted-answer,207421,20140101,0
accepted-answer,207421,20140101,0
accepted-answer,256196,20140101,3
accepted-answer,260990,20140101,2
accepted-answer,335858,20140101,2
accepted-answer,418556,20140101,0
accepted-answer,418556,20140101,3
accepted-answer,418556,20140101,4
accepted-answer,438154,20140101,0
accepted-answer,438154,20140101,3
accepted-answer,871026,20140101,0
accepted-answer,1103872,20140101,0
accepted-answer,1103872,20140101,1
accepted-answer,1103872,20140101,3
accepted-answer,1831293,20140101,2
accepted-answer,1831293,20140101,0
accepted-answer,1831293,20140101,1
accepted-answer,2300597,20140101,1
accepted-answer,2300597,20140101,9
accepted-answer,2300597,20140101,1
accepted-answer,2587435,20140101,1
accepted-answer,2670892,20140101,2
accepted-answer,2970947,20140101,0
accepted-answer,3049628,20140101,3
answer,22656,20140101,12
answer,22656,20140101,1
answer,22656,20140101,6
answer,57695,20140101,3
answer,57695,20140101,1
answer,57695,20140101,5
answer,57695,20140101,0
answer,57695,20140101,2
answer,139985,20140101,2
answer,207421,20140101,0
answer,207421,20140101,0
answer,207421,20140101,0
answer,256196,20140101,0
answer,260990,20140101,1
answer,260990,20140101,3
answer,335858,20140101,8
answer,418556,20140101,1
answer,418556,20140101,1
answer,418556,20140101,1
answer,418556,20140101,1
answer,438154,20140101,1
answer,573032,20140101,0
answer,573032,20140101,1
answer,829571,20140101,2
answer,984823,20140101,1
answer,984823,20140101,0
answer,984823,20140101,0
answer,992484,20140101,4
answer,992484,20140101,2
answer,992484,20140101,2
answer,1081110,20140101,106
answer,1081110,20140101,1
answer,1103872,20140101,6
answer,1103872,20140101,3
answer,1103872,20140101,5
answer,1103872,20140101,7
answer,1393766,20140101,6
answer,1831293,20140101,0
answer,1831293,20140101,1
answer,1831293,20140101,1
answer,1831293,20140101,0
answer,2300597,20140101,0
answer,2300597,20140101,0
answer,2422776,20140101,3
answer,2464386,20140101,1
answer,2587435,20140101,4
answer,2670892,20140101,0
answer,2970947,20140101,0
accepted-answer,22656,20140102,5
accepted-answer,22656,20140102,11
accepted-answer,57695,20140102,2
accepted-answer,131872,20140102,2
accepted-answer,131872,20140102,1
accepted-answer,260990,20140102,9
accepted-answer,335858,20140102,1
accepted-answer,438154,20140102,0
accepted-answer,438154,20140102,6
accepted-answer,438154,20140102,3
accepted-answer,438154,20140102,9
accepted-answer,438154,20140102,1
accepted-answer,438154,20140102,1
accepted-answer,438154,20140102,0
accepted-answer,522444,20140102,2
accepted-answer,571407,20140102,3
accepted-answer,571407,20140102,1
accepted-answer,571407,20140102,2
accepted-answer,571407,20140102,2
accepted-answer,573032,20140102,2
accepted-answer,829571,20140102,3
accepted-answer,871026,20140102,5
accepted-answer,871026,20140102,4
accepted-answer,992484,20140102,4
accepted-answer,992484,20140102,1
accepted-answer,992484,20140102,2
accepted-answer,992484,20140102,1
accepted-answer,992484,20140102,2
accepted-answer,1103872,20140102,2
accepted-answer,2189127,20140102,1
accepted-answer,2193767,20140102,5
accepted-answer,2422776,20140102,1
accepted-answer,2587435,20140102,1
accepted-answer,2587435,20140102,2
accepted-answer,2587435,20140102,1
accepted-answer,2587435,20140102,3
accepted-answer,2670892,20140102,2
accepted-answer,2670892,20140102,2
accepted-answer,3049628,20140102,1
answer,22656,20140102,3
answer,131872,20140102,2
answer,131872,20140102,1
answer,207421,20140102,1
answer,256196,20140102,3
answer,256196,20140102,0
answer,256196,20140102,1
answer,260990,20140102,3
answer,335858,20140102,2
answer,418556,20140102,2
answer,418556,20140102,3
answer,418556,20140102,7
answer,438154,20140102,1
answer,522444,20140102,3
answer,522444,20140102,1
answer,522444,20140102,2
answer,984823,20140102,1
answer,984823,20140102,0
answer,992484,20140102,1
answer,992484,20140102,1
answer,1081110,20140102,0
answer,1103872,20140102,1
answer,1393766,20140102,3
answer,1831293,20140102,0
answer,1831293,20140102,4
answer,1831293,20140102,15
answer,1831293,20140102,1
answer,1831293,20140102,0
answer,1831293,20140102,0
answer,1831293,20140102,0
answer,2189127,20140102,1
answer,2193767,20140102,0
answer,2193767,20140102,0
answer,2193767,20140102,0
answer,2193767,20140102,1
answer,2464386,20140102,0
answer,2587435,20140102,2
answer,2587435,20140102,3
answer,2587435,20140102,1
answer,2587435,20140102,0
answer,2587435,20140102,1
answer,2670892,20140102,1
answer,2970947,20140102,1
answer,2970947,20140102,0
answer,3049628,20140102,0
answer,3049628,20140102,1
answer,3049628,20140102,2
answer,3049628,20140102,0
answer,3049628,20140102,0
answer,3049628,20140102,1
accepted-answer,22656,20140103,9
accepted-answer,131872,20140103,2
accepted-answer,131872,20140103,2
accepted-answer,139985,20140103,1
accepted-answer,207421,20140103,0
accepted-answer,207421,20140103,0
accepted-answer,207421,20140103,1
accepted-answer,335858,20140103,3
accepted-answer,335858,20140103,2
accepted-answer,438154,20140103,5
accepted-answer,571407,20140103,4
accepted-answer,571407,20140103,0
accepted-answer,573032,20140103,2
accepted-answer,573032,20140103,1
accepted-answer,573032,20140103,0
accepted-answer,829571,20140103,5
accepted-answer,992484,20140103,0
accepted-answer,992484,20140103,1
accepted-answer,992484,20140103,3
accepted-answer,992484,20140103,6
accepted-answer,1103872,20140103,5
accepted-answer,1393766,20140103,4
accepted-answer,1393766,20140103,6
accepted-answer,1831293,20140103,4
accepted-answer,1831293,20140103,4
accepted-answer,1831293,20140103,7
accepted-answer,2189127,20140103,2
accepted-answer,2300597,20140103,2
accepted-answer,2300597,20140103,1
accepted-answer,2300597,20140103,7
accepted-answer,2300597,20140103,2
accepted-answer,2711488,20140103,2
accepted-answer,2970947,20140103,2
accepted-answer,2970947,20140103,2
accepted-answer,2970947,20140103,4
accepted-answer,3049628,20140103,2
accepted-answer,3049628,20140103,0
accepted-answer,3049628,20140103,3
accepted-answer,3049628,20140103,3
answer,57695,20140103,0
answer,57695,20140103,3
answer,131872,20140103,2
answer,131872,20140103,0
answer,131872,20140103,0
answer,139985,20140103,0
answer,139985,20140103,0
answer,207421,20140103,0
answer,207421,20140103,1
answer,256196,20140103,0
answer,256196,20140103,0
answer,256196,20140103,0
answer,260990,20140103,3
answer,260990,20140103,5
answer,418556,20140103,1
answer,418556,20140103,1
answer,522444,20140103,5
answer,522444,20140103,1
answer,571407,20140103,1
answer,571407,20140103,3
answer,571407,20140103,2
answer,573032,20140103,0
answer,829571,20140103,1
answer,829571,20140103,0
answer,871026,20140103,1
answer,984823,20140103,0
answer,984823,20140103,0
answer,984823,20140103,0
answer,984823,20140103,0
answer,992484,20140103,5
answer,992484,20140103,1
answer,1831293,20140103,4
answer,1831293,20140103,4
answer,1831293,20140103,0
answer,1831293,20140103,0
answer,1831293,20140103,3
answer,1831293,20140103,0
answer,1831293,20140103,1
answer,1831293,20140103,2
answer,2189127,20140103,3
answer,2193767,20140103,1
answer,2193767,20140103,1
answer,2193767,20140103,0
answer,2300597,20140103,0
answer,2300597,20140103,1
answer,2300597,20140103,1
answer,2300597,20140103,0
answer,2300597,20140103,0
answer,2300597,20140103,2
answer,2587435,20140103,1
answer,2587435,20140103,0
answer,2587435,20140103,1
answer,2587435,20140103,0
answer,2587435,20140103,1
answer,2670892,20140103,1
answer,2970947,20140103,0
answer,2970947,20140103,0
answer,2970947,20140103,1
answer,2970947,20140103,0
answer,2970947,20140103,0
answer,2970947,20140103,4
answer,2970947,20140103,0
answer,2970947,20140103,1
answer,2970947,20140103,1
answer,2970947,20140103,0
answer,3049628,20140103,5
answer,3049628,20140103,1
answer,3049628,20140103,1
answer,3049628,20140103,0
answer,3049628,20140103,3
answer,3049628,20140103,0
answer,3049628,20140103,0
answer,3049628,20140103,0
answer,3049628,20140103,0
answer,3049628,20140103,4
answer,3049628,20140103,2
answer,3049628,20140103,0
answer,3049628,20140103,1
answer,3049628,20140103,0
answer,3049628,20140103,1
question,3049628,20140103,8
accepted-answer,22656,20140104,9
accepted-answer,22656,20140104,2
accepted-answer,22656,20140104,2
accepted-answer,22656,20140104,1
accepted-answer,57695,20140104,0
accepted-answer,57695,20140104,4
accepted-answer,131872,20140104,2
accepted-answer,139985,20140104,3
accepted-answer,139985,20140104,2
accepted-answer,207421,20140104,1
accepted-answer,256196,20140104,2
accepted-answer,335858,20140104,1
accepted-answer,438154,20140104,1
accepted-answer,522444,20140104,4
accepted-answer,522444,20140104,9
accepted-answer,522444,20140104,5
accepted-answer,522444,20140104,5
accepted-answer,573032,20140104,0
accepted-answer,829571,20140104,2
accepted-answer,829571,20140104,26
accepted-answer,829571,20140104,5
accepted-answer,829571,20140104,2
accepted-answer,992484,20140104,2
accepted-answer,1831293,20140104,1
accepted-answer,2189127,20140104,0
accepted-answer,2300597,20140104,1
accepted-answer,2300597,20140104,1
accepted-answer,2587435,20140104,5
accepted-answer,2587435,20140104,3
accepted-answer,2587435,20140104,2
accepted-answer,2587435,20140104,2
accepted-answer,2970947,20140104,4
accepted-answer,2970947,20140104,2
accepted-answer,2970947,20140104,2
accepted-answer,3049628,20140104,2
answer,57695,20140104,2
answer,57695,20140104,2
answer,131872,20140104,2
answer,139985,20140104,5
answer,139985,20140104,3
answer,139985,20140104,0
answer,139985,20140104,0
answer,207421,20140104,1
answer,438154,20140104,1
answer,438154,20140104,6
answer,438154,20140104,4
answer,571407,20140104,1
answer,829571,20140104,0
answer,829571,20140104,3
answer,829571,20140104,6
answer,829571,20140104,3
answer,829571,20140104,9
answer,829571,20140104,2
answer,871026,20140104,1
answer,992484,20140104,1
answer,1081110,20140104,1
answer,1081110,20140104,0
answer,1081110,20140104,6
answer,1081110,20140104,1
answer,1103872,20140104,4
answer,1103872,20140104,2
answer,1103872,20140104,2
answer,1393766,20140104,2
answer,1831293,20140104,2
answer,1831293,20140104,6
answer,1831293,20140104,0
answer,2422776,20140104,2
answer,2422776,20140104,1
answer,2587435,20140104,3
answer,2587435,20140104,1
answer,2587435,20140104,2
answer,2587435,20140104,6
answer,2587435,20140104,0
answer,2670892,20140104,0
answer,2970947,20140104,0
answer,3049628,20140104,0
accepted-answer,22656,20140105,2
accepted-answer,22656,20140105,3
accepted-answer,131872,20140105,1
accepted-answer,139985,20140105,2
accepted-answer,207421,20140105,1
accepted-answer,207421,20140105,0
accepted-answer,256196,20140105,3
accepted-answer,256196,20140105,2
accepted-answer,256196,20140105,1
accepted-answer,256196,20140105,2
accepted-answer,335858,20140105,2
accepted-answer,335858,20140105,5
accepted-answer,418556,20140105,2
accepted-answer,418556,20140105,2
accepted-answer,438154,20140105,2
accepted-answer,438154,20140105,1
accepted-answer,438154,20140105,4
accepted-answer,438154,20140105,2
accepted-answer,438154,20140105,1
accepted-answer,438154,20140105,2
accepted-answer,438154,20140105,1
accepted-answer,522444,20140105,3
accepted-answer,571407,20140105,2
accepted-answer,571407,20140105,3
accepted-answer,571407,20140105,4
accepted-answer,571407,20140105,4
accepted-answer,571407,20140105,2
accepted-answer,829571,20140105,4
accepted-answer,992484,20140105,4
accepted-answer,992484,20140105,2
accepted-answer,992484,20140105,4
accepted-answer,1081110,20140105,2
accepted-answer,1081110,20140105,1
accepted-answer,1081110,20140105,1
accepted-answer,2300597,20140105,1
accepted-answer,2587435,20140105,1
accepted-answer,2587435,20140105,2
accepted-answer,2587435,20140105,0
accepted-answer,2587435,20140105,3
accepted-answer,2587435,20140105,2
accepted-answer,2670892,20140105,4
accepted-answer,2670892,20140105,1
accepted-answer,2970947,20140105,2
accepted-answer,3049628,20140105,3
accepted-answer,3049628,20140105,1
accepted-answer,3049628,20140105,1
answer,22656,20140105,6
answer,57695,20140105,1
answer,207421,20140105,0
answer,207421,20140105,1
answer,260990,20140105,0
answer,418556,20140105,1
answer,418556,20140105,3
answer,438154,20140105,2
answer,438154,20140105,0
answer,438154,20140105,0
answer,522444,20140105,4
answer,522444,20140105,2
answer,571407,20140105,0
answer,571407,20140105,4
answer,573032,20140105,0
answer,829571,20140105,1
answer,829571,20140105,0
answer,984823,20140105,1
answer,992484,20140105,3
answer,992484,20140105,0
answer,1081110,20140105,5
answer,1081110,20140105,0
answer,1831293,20140105,3
answer,1831293,20140105,1
answer,1831293,20140105,1
answer,1831293,20140105,1
answer,1831293,20140105,2
answer,1831293,20140105,1
answer,2193767,20140105,1
answer,2300597,20140105,0
answer,2300597,20140105,5
answer,2300597,20140105,1
answer,2300597,20140105,0
answer,2300597,20140105,4
answer,2587435,20140105,3
answer,2587435,20140105,1
answer,2670892,20140105,2
answer,2970947,20140105,0
answer,2970947,20140105,0
answer,3049628,20140105,3
answer,3049628,20140105,2
answer,3049628,20140105,0
answer,3049628,20140105,0
answer,3049628,20140105,1
answer,3049628,20140105,0
answer,3049628,20140105,4
answer,3049628,20140105,0
answer,3049628,20140105,3
accepted-answer,57695,20140106,5
accepted-answer,57695,20140106,0
accepted-answer,131872,20140106,1
accepted-answer,139985,20140106,6
accepted-answer,139985,20140106,1
accepted-answer,139985,20140106,6
accepted-answer,207421,20140106,0
accepted-answer,207421,20140106,0
accepted-answer,207421,20140106,1
accepted-answer,207421,20140106,0
accepted-answer,207421,20140106,6
accepted-answer,256196,20140106,4
accepted-answer,260990,20140106,1
accepted-answer,260990,20140106,3
accepted-answer,260990,20140106,6
accepted-answer,260990,20140106,1
accepted-answer,260990,20140106,0
accepted-answer,418556,20140106,4
accepted-answer,438154,20140106,16
accepted-answer,438154,20140106,7
accepted-answer,438154,20140106,3
accepted-answer,438154,20140106,1
accepted-answer,438154,20140106,3
accepted-answer,438154,20140106,2
accepted-answer,438154,20140106,0
accepted-answer,438154,20140106,1
accepted-answer,438154,20140106,3
accepted-answer,438154,20140106,1
accepted-answer,438154,20140106,1
accepted-answer,438154,20140106,2
accepted-answer,438154,20140106,1
accepted-answer,522444,20140106,2
accepted-answer,571407,20140106,0
accepted-answer,829571,20140106,4
accepted-answer,829571,20140106,38
accepted-answer,871026,20140106,0
accepted-answer,992484,20140106,3
accepted-answer,992484,20140106,2
accepted-answer,992484,20140106,3
accepted-answer,1081110,20140106,7
accepted-answer,1707091,20140106,3
accepted-answer,1831293,20140106,5
accepted-answer,1831293,20140106,1
accepted-answer,2189127,20140106,10
accepted-answer,2189127,20140106,2
accepted-answer,2193767,20140106,0
accepted-answer,2300597,20140106,3
accepted-answer,2464386,20140106,2
accepted-answer,2587435,20140106,2
accepted-answer,2587435,20140106,1
accepted-answer,2587435,20140106,1
accepted-answer,2587435,20140106,1
accepted-answer,2711488,20140106,1
accepted-answer,2970947,20140106,2
accepted-answer,2970947,20140106,2
accepted-answer,2970947,20140106,1
answer,57695,20140106,3
answer,57695,20140106,2
answer,57695,20140106,1
answer,131872,20140106,3
answer,131872,20140106,3
answer,131872,20140106,0
answer,139985,20140106,4
answer,139985,20140106,1
answer,139985,20140106,2
answer,207421,20140106,0
answer,207421,20140106,1
answer,207421,20140106,0
answer,207421,20140106,0
answer,256196,20140106,2
answer,256196,20140106,1
answer,256196,20140106,2
answer,256196,20140106,48
answer,256196,20140106,0
answer,260990,20140106,4
answer,260990,20140106,7
answer,260990,20140106,0
answer,335858,20140106,1
answer,438154,20140106,6
answer,438154,20140106,0
answer,438154,20140106,2
answer,438154,20140106,2
answer,438154,20140106,1
answer,573032,20140106,1
answer,573032,20140106,1
answer,829571,20140106,1
answer,829571,20140106,4
answer,871026,20140106,2
answer,992484,20140106,1
answer,992484,20140106,2
answer,992484,20140106,2
answer,992484,20140106,3
answer,992484,20140106,3
answer,992484,20140106,2
answer,1081110,20140106,1
answer,1081110,20140106,1
answer,1103872,20140106,21
answer,1831293,20140106,0
answer,1831293,20140106,0
answer,1831293,20140106,1
answer,1831293,20140106,1
answer,1831293,20140106,0
answer,2193767,20140106,2
answer,2193767,20140106,0
answer,2193767,20140106,2
answer,2300597,20140106,0
answer,2300597,20140106,2
answer,2300597,20140106,3
answer,2300597,20140106,0
answer,2300597,20140106,0
answer,2310289,20140106,0
answer,2464386,20140106,0
answer,2464386,20140106,0
answer,2587435,20140106,1
answer,2587435,20140106,1
answer,2587435,20140106,1
answer,2670892,20140106,3
answer,2670892,20140106,0
answer,2670892,20140106,1
answer,2970947,20140106,1
answer,2970947,20140106,0
answer,2970947,20140106,1
answer,2970947,20140106,2
answer,3049628,20140106,0
answer,3049628,20140106,0
answer,3049628,20140106,1
answer,3049628,20140106,4
answer,3049628,20140106,1
answer,3049628,20140106,0
answer,3049628,20140106,0
answer,3049628,20140106,1
answer,3049628,20140106,3
question,829571,20140106,3
question,2193767,20140106,4
accepted-answer,22656,20140107,6
accepted-answer,57695,20140107,0
accepted-answer,57695,20140107,4
accepted-answer,207421,20140107,1
accepted-answer,207421,20140107,1
accepted-answer,207421,20140107,0
accepted-answer,207421,20140107,1
accepted-answer,256196,20140107,2
accepted-answer,335858,20140107,4
accepted-answer,418556,20140107,3
accepted-answer,418556,20140107,3
accepted-answer,418556,20140107,3
accepted-answer,418556,20140107,3
accepted-answer,438154,20140107,3
accepted-answer,438154,20140107,1
accepted-answer,438154,20140107,1
accepted-answer,438154,20140107,5
accepted-answer,438154,20140107,4
accepted-answer,438154,20140107,3
accepted-answer,522444,20140107,3
accepted-answer,571407,20140107,4
accepted-answer,571407,20140107,2
accepted-answer,571407,20140107,0
accepted-answer,571407,20140107,4
accepted-answer,573032,20140107,1
accepted-answer,829571,20140107,5
accepted-answer,871026,20140107,2
accepted-answer,992484,20140107,1
accepted-answer,1081110,20140107,1
accepted-answer,1103872,20140107,5
accepted-answer,1707091,20140107,5
accepted-answer,1707091,20140107,4
accepted-answer,1831293,20140107,2
accepted-answer,1831293,20140107,1
accepted-answer,1831293,20140107,3
accepted-answer,1831293,20140107,2
accepted-answer,1831293,20140107,2
accepted-answer,2300597,20140107,0
accepted-answer,2300597,20140107,1
accepted-answer,2464386,20140107,0
accepted-answer,2587435,20140107,1
accepted-answer,2587435,20140107,2
accepted-answer,2587435,20140107,2
accepted-answer,2587435,20140107,2
accepted-answer,2587435,20140107,2
accepted-answer,2670892,20140107,1
accepted-answer,2970947,20140107,0
accepted-answer,3049628,20140107,3
accepted-answer,3049628,20140107,2
answer,22656,20140107,1
answer,22656,20140107,7
answer,22656,20140107,2
answer,57695,20140107,4
answer,57695,20140107,2
answer,57695,20140107,2
answer,131872,20140107,4
answer,131872,20140107,0
answer,139985,20140107,2
answer,207421,20140107,2
answer,207421,20140107,1
answer,207421,20140107,0
answer,207421,20140107,0
answer,207421,20140107,0
answer,207421,20140107,1
answer,260990,20140107,5
answer,260990,20140107,0
answer,418556,20140107,1
answer,418556,20140107,2
answer,418556,20140107,2
answer,418556,20140107,2
answer,438154,20140107,0
answer,438154,20140107,0
answer,438154,20140107,0
answer,522444,20140107,6
answer,571407,20140107,3
answer,571407,20140107,1
answer,571407,20140107,2
answer,573032,20140107,0
answer,984823,20140107,2
answer,984823,20140107,3
answer,992484,20140107,2
answer,992484,20140107,0
answer,1707091,20140107,2
answer,1707091,20140107,5
answer,1707091,20140107,0
answer,1831293,20140107,7
answer,1831293,20140107,0
answer,1831293,20140107,0
answer,1831293,20140107,0
answer,2193767,20140107,0
answer,2193767,20140107,0
answer,2193767,20140107,2
answer,2300597,20140107,0
answer,2300597,20140107,1
answer,2464386,20140107,0
answer,2587435,20140107,0
answer,2587435,20140107,0
answer,2587435,20140107,2
answer,2587435,20140107,0
answer,2670892,20140107,2
answer,2711488,20140107,2
answer,2970947,20140107,0
answer,2970947,20140107,0
answer,2970947,20140107,1
answer,2970947,20140107,2
answer,2970947,20140107,0
answer,2970947,20140107,2
answer,2970947,20140107,0
answer,2970947,20140107,1
answer,2970947,20140107,1
answer,3049628,20140107,0
answer,3049628,20140107,2
answer,3049628,20140107,1
answer,3049628,20140107,2
accepted-answer,131872,20140108,4
accepted-answer,131872,20140108,3
accepted-answer,207421,20140108,1
accepted-answer,207421,20140108,1
accepted-answer,335858,20140108,1
accepted-answer,418556,20140108,3
accepted-answer,418556,20140108,4
accepted-answer,418556,20140108,2
accepted-answer,438154,20140108,4
accepted-answer,438154,20140108,6
accepted-answer,438154,20140108,12
accepted-answer,438154,20140108,5
accepted-answer,438154,20140108,1
accepted-answer,522444,20140108,2
accepted-answer,571407,20140108,3
accepted-answer,571407,20140108,4
accepted-answer,571407,20140108,2
accepted-answer,573032,20140108,3
accepted-answer,573032,20140108,2
accepted-answer,829571,20140108,2
accepted-answer,829571,20140108,7
accepted-answer,992484,20140108,2
accepted-answer,992484,20140108,2
accepted-answer,992484,20140108,3
accepted-answer,992484,20140108,2
accepted-answer,1103872,20140108,2
accepted-answer,1103872,20140108,5
accepted-answer,1393766,20140108,2
accepted-answer,1831293,20140108,1
accepted-answer,1831293,20140108,3
accepted-answer,2464386,20140108,1
accepted-answer,2464386,20140108,0
accepted-answer,2587435,20140108,2
accepted-answer,2587435,20140108,0
accepted-answer,2587435,20140108,0
accepted-answer,2587435,20140108,0
accepted-answer,2587435,20140108,1
accepted-answer,2587435,20140108,1
accepted-answer,2670892,20140108,3
accepted-answer,2970947,20140108,2
accepted-answer,2970947,20140108,2
accepted-answer,3049628,20140108,4
accepted-answer,3049628,20140108,5
accepted-answer,3049628,20140108,4
accepted-answer,3049628,20140108,4
accepted-answer,3049628,20140108,0
answer,57695,20140108,4
answer,57695,20140108,0
answer,57695,20140108,1
answer,57695,20140108,5
answer,57695,20140108,4
answer,139985,20140108,0
answer,207421,20140108,0
answer,256196,20140108,0
answer,256196,20140108,1
answer,256196,20140108,5
answer,256196,20140108,1
answer,256196,20140108,0
answer,260990,20140108,0
answer,260990,20140108,2
answer,418556,20140108,1
answer,418556,20140108,1
answer,438154,20140108,0
answer,438154,20140108,1
answer,438154,20140108,0
answer,522444,20140108,3
answer,522444,20140108,3
answer,571407,20140108,0
answer,573032,20140108,0
answer,829571,20140108,1
answer,829571,20140108,3
answer,829571,20140108,0
answer,871026,20140108,2
answer,1393766,20140108,0
answer,1707091,20140108,1
answer,1707091,20140108,1
answer,1707091,20140108,0
answer,1707091,20140108,3
answer,1831293,20140108,0
answer,1831293,20140108,0
answer,1831293,20140108,1
answer,1831293,20140108,0
answer,1831293,20140108,1
answer,1831293,20140108,0
answer,1831293,20140108,0
answer,1831293,20140108,1
answer,2193767,20140108,0
answer,2193767,20140108,3
answer,2300597,20140108,2
answer,2300597,20140108,2
answer,2300597,20140108,0
answer,2587435,20140108,2
answer,2587435,20140108,2
answer,2587435,20140108,1
answer,2587435,20140108,2
answer,2587435,20140108,0
answer,2670892,20140108,1
answer,2970947,20140108,0
answer,2970947,20140108,2
answer,2970947,20140108,1
answer,2970947,20140108,0
answer,2970947,20140108,2
answer,2970947,20140108,3
answer,3049628,20140108,0
answer,3049628,20140108,1
answer,3049628,20140108,0
answer,3049628,20140108,0
answer,3049628,20140108,0
answer,3049628,20140108,2
answer,3049628,20140108,0
answer,3049628,20140108,0
accepted-answer,139985,20140109,2
accepted-answer,139985,20140109,4
accepted-answer,207421,20140109,0
accepted-answer,256196,20140109,1
accepted-answer,256196,20140109,6
accepted-answer,335858,20140109,5
accepted-answer,418556,20140109,1
accepted-answer,418556,20140109,2
accepted-answer,438154,20140109,2
accepted-answer,522444,20140109,3
accepted-answer,522444,20140109,3
accepted-answer,522444,20140109,2
accepted-answer,571407,20140109,0
accepted-answer,571407,20140109,3
accepted-answer,571407,20140109,2
accepted-answer,871026,20140109,6
accepted-answer,871026,20140109,0
accepted-answer,992484,20140109,3
accepted-answer,992484,20140109,1
accepted-answer,992484,20140109,3
accepted-answer,992484,20140109,3
accepted-answer,1081110,20140109,3
accepted-answer,1707091,20140109,0
accepted-answer,1707091,20140109,3
accepted-answer,2193767,20140109,10
accepted-answer,2300597,20140109,2
accepted-answer,2587435,20140109,1
accepted-answer,2587435,20140109,1
accepted-answer,2587435,20140109,0
accepted-answer,2670892,20140109,1
accepted-answer,2970947,20140109,2
accepted-answer,3049628,20140109,3
accepted-answer,3049628,20140109,4
accepted-answer,3049628,20140109,1
answer,57695,20140109,2
answer,131872,20140109,2
answer,131872,20140109,2
answer,139985,20140109,1
answer,207421,20140109,-1
answer,207421,20140109,0
answer,207421,20140109,1
answer,256196,20140109,2
answer,256196,20140109,4
answer,418556,20140109,1
answer,418556,20140109,2
answer,418556,20140109,1
answer,418556,20140109,0
answer,438154,20140109,1
answer,522444,20140109,2
answer,522444,20140109,5
answer,522444,20140109,3
answer,522444,20140109,2
answer,522444,20140109,3
answer,571407,20140109,0
answer,571407,20140109,2
answer,571407,20140109,0
answer,829571,20140109,0
answer,992484,20140109,2
answer,992484,20140109,3
answer,992484,20140109,1
answer,1081110,20140109,2
answer,1103872,20140109,9
answer,1393766,20140109,4
answer,1707091,20140109,2
answer,1831293,20140109,3
answer,1831293,20140109,2
answer,1831293,20140109,0
answer,2193767,20140109,3
answer,2193767,20140109,3
answer,2300597,20140109,2
answer,2300597,20140109,0
answer,2300597,20140109,5
answer,2300597,20140109,2
answer,2464386,20140109,1
answer,2464386,20140109,0
answer,2587435,20140109,1
answer,2587435,20140109,0
answer,2587435,20140109,2
answer,2587435,20140109,0
answer,2587435,20140109,1
answer,2670892,20140109,1
answer,2970947,20140109,1
answer,3049628,20140109,2
answer,3049628,20140109,0
answer,3049628,20140109,0
answer,3049628,20140109,1
answer,3049628,20140109,1
answer,3049628,20140109,1
accepted-answer,131872,20140110,3
accepted-answer,139985,20140110,3
accepted-answer,256196,20140110,1
accepted-answer,260990,20140110,3
accepted-answer,335858,20140110,2
accepted-answer,418556,20140110,3
accepted-answer,438154,20140110,3
accepted-answer,438154,20140110,3
accepted-answer,438154,20140110,2
accepted-answer,522444,20140110,7
accepted-answer,522444,20140110,5
accepted-answer,571407,20140110,3
accepted-answer,573032,20140110,1
accepted-answer,829571,20140110,2
accepted-answer,992484,20140110,7
accepted-answer,992484,20140110,2
accepted-answer,992484,20140110,3
accepted-answer,1103872,20140110,1
accepted-answer,1103872,20140110,3
accepted-answer,1103872,20140110,4
accepted-answer,1707091,20140110,2
accepted-answer,1707091,20140110,1
accepted-answer,1707091,20140110,3
accepted-answer,1707091,20140110,3
accepted-answer,1831293,20140110,0
accepted-answer,1831293,20140110,4
accepted-answer,2189127,20140110,0
accepted-answer,2300597,20140110,4
accepted-answer,2300597,20140110,1
accepted-answer,2587435,20140110,3
accepted-answer,2670892,20140110,3
accepted-answer,2670892,20140110,3
accepted-answer,2670892,20140110,2
accepted-answer,2970947,20140110,2
accepted-answer,2970947,20140110,0
accepted-answer,2970947,20140110,1
accepted-answer,2970947,20140110,0
accepted-answer,3049628,20140110,5
accepted-answer,3049628,20140110,4
answer,131872,20140110,1
answer,256196,20140110,1
answer,260990,20140110,3
answer,418556,20140110,3
answer,418556,20140110,2
answer,438154,20140110,1
answer,438154,20140110,1
answer,522444,20140110,2
answer,522444,20140110,1
answer,571407,20140110,2
answer,573032,20140110,0
answer,829571,20140110,2
answer,829571,20140110,3
answer,871026,20140110,0
answer,984823,20140110,2
answer,992484,20140110,2
answer,992484,20140110,3
answer,992484,20140110,5
answer,1103872,20140110,1
answer,1103872,20140110,0
answer,1707091,20140110,1
answer,1707091,20140110,1
answer,1831293,20140110,1
answer,1831293,20140110,1
answer,1831293,20140110,0
answer,1831293,20140110,0
answer,2193767,20140110,0
answer,2193767,20140110,0
answer,2300597,20140110,0
answer,2310289,20140110,0
answer,2587435,20140110,1
answer,2587435,20140110,2
